id,lan_code,sentence
4606591,eng,I need to drop these useless perceptions to take full throttle over my life.
271806,eng,The students adore the new English teacher.
8308528,eng,You will be provided with your own user account.
7235686,eng,I don't think that I can finish all this work by 2:30.
7183076,eng,Tom and his teenage son moved to Australia.
73486,eng,Do you think they'll break the 10-second barrier in the 100-meter dash?
10016429,eng,The collection is constantly updated.
2735301,eng,"Even though the speed limit was 55 miles per hour, Tom was driving much faster."
8351788,eng,Tom and Mary have a daughter about your age.
3732952,eng,Tom said you sprained an ankle.
7183873,eng,Tom admitted he had stolen money from Mary.
3183868,eng,I think Tom is poor.
1023762,eng,When did you last see Tom?
9748906,eng,Boston is our second home.
7515292,eng,I know Tom is almost never busy anymore.
1893863,eng,We don't want this to happen again.
10610791,eng,It was tough. I had to take care of a lot of tasks.
2942848,eng,What's the minimum salary in Lebanon?
6358308,eng,Tom said he'd win.
7587463,eng,The days of plenty are over.
9956017,eng,We had a decently good season.
323321,eng,You'll have to come tomorrow.
6606469,eng,"He had taken this legend which I have read you exceedingly to heart—so much so that, although he would walk in his own grounds, nothing would induce him to go out upon the moor at night."
10209112,eng,Tom stayed in his apartment.
1823317,eng,What is happening to me? Am I losing my personality?
6490547,eng,Tom and Mary said they don't plan on staying here all day.
2031377,eng,"You really don't want me to kiss you, do you?"
9400838,eng,It is a delicate period.
9017127,eng,He read a different book about Islam.
4132572,eng,Tom's an expert.
9131947,eng,We're magicians.
8550018,eng,Nobody's died yet.
705081,eng,You have changed a lot.
6342361,eng,I didn't do that as quickly as I should've.
1120489,eng,They're going to have a baby.
10179699,eng,Yanni isn't sure how Rima died.
5804174,eng,Tom is able to sing very well.
6927887,eng,I occasionally ride my bicycle to school.
10066309,eng,I've been having trouble getting to sleep.
288437,eng,He boasted of having won the first prize.
3410765,eng,It made me very rich.
9931091,eng,Yanni grabbed the wheel.
5817292,eng,Santa Claus doesn't bring presents to naughty children.
32919,eng,Mike didn't join the practice yesterday.
8604052,eng,Lithuania is a hospitable country.
8344580,eng,She was scolded by her mother for forgetting to turn off the light when she left the house.
3442596,eng,This is kind of embarrassing.
10011326,eng,Yanni tried to leave Algeria.
3150542,eng,Tom won't let me buy any more stuff.
6499460,eng,Tom and Mary told John that they thought Alice was pushy.
1226744,eng,It was an uphill struggle.
6124127,eng,Tom asked Mary if she could give him a ride home.
8520771,eng,He blackmailed her.
6094759,eng,Layla was really sad.
10361493,eng,I think the president's going to veto the bill.
3529373,eng,What's there to be afraid of?
3722244,eng,I'm definitely not on your side.
6576597,eng,It's been defaced.
3733626,eng,I think you might need to learn how to drive.
887126,eng,She forgot to write him.
9822842,eng,Why did Tom buy such a small car?
250634,eng,"My desk is old, but his is new."
4973602,eng,I must hide.
244269,eng,Reducing the budget deficit is a major concern of the government.
6237052,eng,I think Tom will be the next one to do that.
2571295,eng,I don't mind sleeping on the couch.
270371,eng,The hostages will be released.
6881733,eng,"Tom isn't a member, is he?"
6521941,eng,I know Tom and Mary are tired.
7244068,eng,Sami and Layla do not know each other.
6359794,eng,"I must warn you that your words will be taken down, and may be used against you."
4664505,eng,Everyone is concerned and worried.
6863432,eng,One of my children is sick.
45381,eng,Well do I remember the man's name.
2294062,eng,I think you know Tom.
1669491,eng,Barclays manipulated Libor.
6477717,eng,​I left out the last question because it was too difficult.
6256507,eng,Tom has run some really good races.
1245080,eng,"In Paris and elsewhere, in the summer, husbands send their wives and children somewhere to escape the heat and they customarily leave to visit them on Saturday evening until Sunday."
7140692,eng,"Tom is very charismatic, isn't he?"
3822122,eng,I don't remember their names.
8954142,eng,Tom wasn't eager to leave.
7965823,eng,"Ruth the Moabite said to Naomi, ""Let me now go to the field, and glean among the ears of grain after him in whose sight I find favor."""
2249039,eng,It's an honor.
8476782,eng,He became mad.
2032595,eng,It has been a very nice week.
7375746,eng,Mary is here to promote her new book.
7472297,eng,Tom and Mary sounded like they meant it.
6693793,eng,Sami wrapped Layla's body in a blanket.
5338532,eng,What've you done with my mobile phone?
8001434,eng,Mennad is over it.
2821396,eng,Tom wasn't there last month.
7105379,eng,Is that a shitpost?
3121695,eng,Tom looks a bit dazed.
4135459,eng,Tom found Mary a good job.
7294362,eng,Sami doesn't watch this type of shit.
10231335,eng,Ziri goes to the best private school in Algiers.
3640458,eng,"A century ago, spittoons were still used."
6979700,eng,She fell for it.
300319,eng,He hoped to succeed.
7810844,eng,"Though I've decided to go to the party, I'm not looking forward to it."
3629825,eng,I live in a block of flats.
4764616,eng,Please be careful not to get hurt.
9167230,eng,Sometimes being alive isn't enough and life is too hard and I don't know why.
10498544,eng,Have you arrived in town?
6867284,eng,Sami sat on that little loveseat.
9623889,eng,The last thing Tom wanted to be was different.
5358571,eng,There's a lot to see and do in Boston.
2921258,eng,What noise might giraffes make?
10772823,eng,Whoever doesn't want to love people has to love trees and dogs.
10209578,eng,Tom caught Mary rummaging through his stuff.
8170310,eng,Let's turn our arms really wide to loosen up our shoulder muscles.
2867337,eng,Rain is pouring.
6335157,eng,Tom said he wanted to buy a fur coat for Mary.
9972617,eng,She really doesn't like her name.
6348849,eng,I knew you'd have fun doing that.
4800275,eng,The text above contains no accurate facts on the matter.
301635,eng,He was engaged in a long argument.
2358864,eng,I haven't actually met Tom yet.
9450492,eng,Tom's children can speak French.
6415676,eng,Mary got angry when she found the door locked.
6430932,eng,I need someone to help me do that.
2963408,eng,We have bigger things to worry about.
7237061,eng,Didn't you know I used to be a taxi driver?
954997,eng,The book's white.
10143356,eng,Gestures can convey meaning as well as words.
9280463,eng,"A mango ice cream, please."
62230,eng,I would like to order one coffee machine (Model 25-A) and have enclosed your order form.
9979401,eng,"Instead of cooking meals, she ordered takeout, which comes in plastic."
6271793,eng,Tom wasn't offered a job.
8046095,eng,Do not call me at work.
805279,eng,Black Americans continued to suffer from racism.
5941806,eng,I know that guy.
2218064,eng,You're all set.
6367862,eng,Boris asked me to give this to you.
3315165,eng,I'm against big government.
7404900,eng,He claims he's innocent.
5858106,eng,I was indiscreet.
7518490,eng,I know Tom has finished doing that.
6519927,eng,Tom and Mary hate eating by themselves.
7966241,eng,Close the cage.
2642294,eng,Tom very much wants to meet you.
7199154,eng,Sami didn't really need that.
4457529,eng,Stop immediately.
6531043,eng,Tom doesn't want to fix that.
6245476,eng,About what time will you be doing that?
931753,eng,"Innsbruck, I must leave you."
8171123,eng,Tom is a physics major.
261222,eng,I got her a wrist watch.
2956549,eng,Tom didn't realize that he had made a mistake.
8685401,eng,Is that a credit card or a debit card?
6266367,eng,I know not to do that here.
7432158,eng,"I saw him fall for a long way. Then he struck a rock, bounded off, and splashed into the water."
9265245,eng,Have you ever been late?
7219006,eng,Sami's YouTube videos aren't sponsored.
3618956,eng,I'm afraid I'm going to have to ask you to leave.
1023823,eng,Tom's younger daughter is married.
6915672,eng,It'll be easy for you to do that.
2230297,eng,He has mutton chops.
2566224,eng,"This sentence seems to be correct, grammatically."
5915566,eng,My mother doesn't speak French.
6514603,eng,Tom and Mary aren't going to find John.
3910940,eng,We put them in straitjackets.
8416526,eng,Tom asked me to.
8473464,eng,I would never dare to do what Tom did.
8578548,eng,Tom is always dressed in normcore basics like jeans and T-shirts.
8598392,eng,Have you ever read a French comic book?
70936,eng,That sounds very interesting.
283025,eng,He must have entered this room.
3434110,eng,Mary is brushing her hair.
10750322,eng,You're the only adult here.
6256076,eng,You'd better do that in a hurry.
6238112,eng,Tom is looking forward to doing that with you.
6335886,eng,I'm no longer planning on doing that.
1654013,eng,The above stated facts are true and correct to the best of my knowledge and belief.
268563,eng,Plants grow.
10773469,eng,Tom was glad Mary came.
269506,eng,It is your shadow in the deep sea.
9765644,eng,"The more we dumb down language, the more we dumb down ourselves."
3534646,eng,Would you prefer milk or coffee?
1972,eng,The bottles of beer that I brought to the party were redundant; the host's family owned a brewery.
5158709,eng,Tom probably should've studied harder.
9959309,eng,Yanni believes in Allah.
5839460,eng,There are hundreds of thousands of women in jail at any given time in the United States.
10782216,eng,I often hear him playing the piano.
3824786,eng,That wouldn't be fair.
4377663,eng,A friend of Tom's had his identity stolen.
6523782,eng,I'm not much older than Tom is.
1841550,eng,What am I going to do?
2764134,eng,It's extremely cold today.
7110745,eng,I think that Tom is still influential.
255768,eng,I think it's about time we got down to brass tacks.
2648660,eng,Tom was left out.
8095809,eng,Tom lost his husband a few months ago.
7776819,eng,"By the time I arrived at the school, the class had already finished."
5685046,eng,We have to measure your intraocular pressure. Please open both eyes wide and look fixedly at this object here.
2492898,eng,Tom is a world-famous conductor.
8535369,eng,He's walking behind her.
3479612,eng,"Mathematics would certainly not have come into existence if one had known from the beginning that there was in nature no exactly straight line, no actual circle, no absolute magnitude."
3221396,eng,We've all done stupid stuff when we're drunk.
1065878,eng,A Transitional Council official told the press that he expects oil production to reach 1.6 million barrels per day within a year.
5781626,eng,Tom asked me what my middle name was.
6023759,eng,Tens of thousands of elephants are killed every year for their ivory tusks.
6436939,eng,Tom said that Mary was attractive.
6413558,eng,Mary is fairly sure she can take care of herself.
2249855,eng,Save your energy.
5179214,eng,Let's be careful what we ask for.
7989691,eng,Sami camped out in Egypt.
7375931,eng,Mary felt someone touch her shoulder.
7818500,eng,Did you meet anybody interesting at the party?
2237733,eng,Tom seems unusual.
5085378,eng,Two persons were killed when an elevated bike path collapsed in Rio.
252960,eng,"I had words with the manager of that store, because he refused to refund my money for the TV set that wasn't operating properly."
2663074,eng,It's not going to be a problem at all.
3734483,eng,Tom doesn't like it when people say no to him.
9393100,eng,Tom did that just a few days ago.
472095,eng,There's no need for you to prepare a formal speech.
9512327,eng,That isn't expensive.
2654878,eng,My sister studied to be a stenographer. She still uses shorthand sometimes when she takes notes.
7769104,eng,More than half the world’s population lives in cities.
4904898,eng,Some days I feel good.
7141132,eng,Sami and Layla are out winners.
10558404,eng,"Interview With the Vampire became a movie in 1994, starring Tom Cruise and Brad Pitt."
10234236,eng,Ziri always wore a necktie.
8831991,eng,"How the mighty have fallen, and the weapons of war have perished!"
6870612,eng,I never would have expected something like this to happen.
8603431,eng,Were you able to go to the hospital?
8608001,eng,"In Taiwan, citizens say masks keep their faces warm in the winter and offer a sense of protection from air pollution, including any airborne germs."
1095643,eng,Tom can remember the day he first met Mary.
8230816,eng,He opened the door of the mosque and walked in there.
6898138,eng,"You aren't telling me the truth, are you?"
6126590,eng,I told Tom you'd want to do that.
9210343,eng,He still writes me from time to time.
9295630,eng,Let's go ask that guy for directions.
7894807,eng,The picture's tilted.
8526182,eng,"He's nice, isn't he?"
3825892,eng,Meet you back at the car.
5253173,eng,I didn't want to give it up.
29112,eng,I was taking a bath when the telephone rang.
10685949,eng,I think that human space colonization would be much slower paced than what some Westerners envision. Humans still don't really have the proper technologies.
6498440,eng,I think Tom and Mary could do that today if they wanted to.
6717211,eng,Sami said that a number of times.
2358868,eng,I have all the money I need.
9966310,eng,What a weird world!
9752366,eng,Get down from there!
8525924,eng,He didn't want to tell her he'd lost all her money.
2093468,eng,I'm coming to your rescue!
6338819,eng,I didn't know you needed to tell Tom what to do.
4050284,eng,"Mary was annoyed with Tom, and wouldn't return his calls."
8303765,eng,I used to come here when it was a bar.
7509499,eng,I don't think that Tom needed to do that either.
806747,eng,Give me the number.
7199219,eng,Sami gave Layla a warning.
40275,eng,Don't thrust your knife into the cheese.
7275690,eng,Sami couldn't make up his mind.
7518031,eng,I didn't know that you were nervous.
897395,eng,Our galaxy is called the Milky Way.
6245049,eng,Tom stayed in this hotel for three days.
253919,eng,I want to join Joe's group.
3500557,eng,Tom was holding a pen in his right hand.
5448579,eng,Would you change your past if you could?
7338278,eng,Sami was trying to find a light switch.
6414410,eng,Did Mary say she didn't think we should do that?
4047385,eng,Tatoeba is helping me to procrastinate!
1526458,eng,She is Tom's older sister.
6718909,eng,Sami never comes out.
8012911,eng,Mennad had a really good Christmas.
2402264,eng,"You're one of Tom's friends, aren't you?"
10733051,eng,He should know that.
287729,eng,Each of his friends is going to camp this summer.
10204473,eng,Ziri knew the perfect place to hide.
5588500,eng,Tell Tom I'm not at home.
10051999,eng,I don't mean to spite you.
7426556,eng,Tom is quite superficial.
8816143,eng,You shouldn't have gone to his place.
10235412,eng,Ziri tried to intimidate Rima.
1023543,eng,It was the best day of my life.
2368836,eng,My neighbor's a real mysophobe.
8949530,eng,"In the stomach of the dead person, I found traces of an unknown substance."
7517228,eng,I know Tom would've done that for me.
6954925,eng,I'm a peanut butter vacuum.
9388271,eng,Yanni reached a paved road.
2606799,eng,Ricardo got US$ 500 for winning.
6656644,eng,Tom is one of the best French teachers I know.
5853784,eng,Tom dangled his feet in the water.
45035,eng,Visitors to that town increase in number year by year.
10776560,eng,Tom has always done this.
2724256,eng,I'm in the post office.
5824828,eng,I'm willing to do that.
6357045,eng,Tom and Mary went bowling together.
8793116,eng,Yanni and Nuja perked up when they heard Skura's voice.
3620299,eng,Tom has been accused of murdering Mary.
6272612,eng,Tom seems awfully tired.
3449026,eng,Tom led us into a trap.
6423731,eng,Mary wasn't able to defend herself.
7514432,eng,Tom didn't know I didn't want to do that.
7382496,eng,He'll have to do it all by himself.
298112,eng,He grunted his agreement without looking at me.
10633973,eng,Please help me get the mouse.
6356960,eng,Tom says he hopes Mary doesn't win.
6650779,eng,Tom said that he'd like to help.
244920,eng,The cherry blossoms were at their best.
5840435,eng,I like it hot.
8597241,eng,There is no towel rack in that bathroom.
3821334,eng,I have a reputation to protect.
7543754,eng,Tom always wears a suit to work.
6272296,eng,Tom didn't let Mary pay the bill.
7436608,eng,Tom and Mary said that they plan to go on Monday.
1091938,eng,"Now it is true that I believe this country is following a dangerous trend when it permits too great a degree of centralization of governmental functions. I oppose this — in some instances the fight is a rather desperate one. But to attain any success it is quite clear that the Federal government cannot avoid or escape responsibilities which the mass of the people firmly believe should be undertaken by it. The political processes of our country are such that if a rule of reason is not applied in this effort, we will lose everything — even to a possible and drastic change in the Constitution. This is what I mean by my constant insistence upon ""moderation"" in government."
7395106,eng,He didn't tell me where he'd been.
2203579,eng,I'm wealthy.
49270,eng,The song always reminds of my childhood.
9594585,eng,Yanni is learning Berber for fun.
10081824,eng,He has bought a new computer.
1901667,eng,How will I pay my debts?
2249805,eng,Please remember me.
5052161,eng,The train was very crowded.
7474470,eng,They say that they're not concerned.
7378882,eng,Mary never told me her last name.
7171779,eng,I thought you said that you were going to be on vacation.
3171308,eng,Tom is my age.
7228869,eng,I don't think Tom will be allowed to do that again.
8716903,eng,What floor are we on?
286241,eng,His ideas are difficult to understand.
2942708,eng,Are you shitting me?
8493379,eng,What happens when Popeye eats spinach?
1435894,eng,"As incredible as it may seem, she ordered a knuckle of ham with sauerkraut."
7202156,eng,Sami was waiting for Layla to come back.
5961560,eng,She had heart surgery.
275539,eng,A big tree fell in the storm.
9629511,eng,Some things don't need to change.
6232632,eng,Tom said that just doing that wouldn't be good enough.
6352989,eng,I'll come over this evening.
1120798,eng,I am food.
6246032,eng,I think Tom could be back tomorrow.
3439591,eng,"As you can see, Tom is pretty good at it."
243587,eng,Would you like sugar and milk?
8788802,eng,He has promised not to do that any more.
7271293,eng,Sami's dog wasn't moving.
9167245,eng,Sweat runs down his chest.
3820617,eng,I didn't know where to start.
6505335,eng,Tom and Mary said that they'd been forced to do that.
6230064,eng,It would probably be depressing to do that by yourself.
1359494,eng,Nobody cares about that.
7728094,eng,He's going to build his own computer.
307332,eng,They saw him enter the room.
3177878,eng,Tom told me he sleeps with the window open.
25151,eng,I don't care what happens.
265170,eng,"To tell the truth, he wasn't up to the work."
8285449,eng,He who excuses himself accuses himself.
8385692,eng,I found that hard.
7226589,eng,I don't think Tom knows what Mary's favorite flower is.
10351086,eng,You will certainly regret it!
3378691,eng,You have a very nice smile.
6654598,eng,Tom said that he didn't see anything.
6507756,eng,"Tom and Mary don't really want to do that, do they?"
3368899,eng,Free speech is still dangerous in some countries.
10096736,eng,"Yanni touched Skura on her knee, not her thigh."
456017,eng,Is it always so awful in April?
6927526,eng,"Tom is waiting with Mary, isn't he?"
10359587,eng,Is this even edible?
8693523,eng,She wanted to get divorced.
3205068,eng,"As Tom tried to tell you, you're not allowed in here."
6869026,eng,You should have told me you needed money.
2942933,eng,What's the minimum salary in Ukraine?
4878614,eng,I see the signs well.
6647595,eng,Tom thinks doing that may be a good idea.
9351993,eng,This accident happened in front of his very eyes.
1185314,eng,I told you you had to go home. Why are you still here?
245588,eng,My sister asked me to lend her the dictionary.
2641063,eng,We have lots of other things to drink.
7246980,eng,Sami really disappointed Layla.
6518163,eng,Tom and Mary helped themselves to coffee.
635618,eng,Dad is coming home tomorrow.
7762129,eng,The cranium contains the brain.
7787943,eng,You don't know what you're saying right now.
50792,eng,"And to make matters worse, he met with a traffic accident."
10214044,eng,Ziri is a refined Englishman.
35344,eng,There were no more than five passengers in the bus.
328951,eng,Be sure to simmer on a low heat so it doesn't boil.
1242863,eng,"You're not busy, right?"
7173699,eng,I thought that you knew Tom.
5852300,eng,What do you do all day?
2821059,eng,I should have paid more attention to the signs.
1880760,eng,Where did you peel them?
7829459,eng,"He was stationed in Kabylie, Algeria."
1655756,eng,Just ignore him.
287189,eng,His proposal counted for nothing.
3735267,eng,Tom should've been here thirty minutes ago.
6348771,eng,Tom never seems to smile anymore.
1961814,eng,I thought you'd be pleased.
6250868,eng,Will you really be able to do that?
7587493,eng,She was so close to me that I could have touched her.
6263252,eng,I didn't keep my appointment.
284213,eng,I wonder whether he'll make it here on time tomorrow. Want to bet a can of juice on it?
321181,eng,The busy bee has no time for sorrow.
6258558,eng,Tom didn't tell Mary he wanted to find another job.
8584247,eng,Tom sounds tired.
6532015,eng,Tom lost sight of Mary.
6691103,eng,Sami set his plan into action.
5806848,eng,I don't think they're bad people.
10672390,eng,Ground hornbills are entirely carnivorous.
302156,eng,He came about two.
8535547,eng,She grabbed the gun away from him before he could kill himself.
2866192,eng,"This and ""that"" are English demonstrative pronouns."
6577448,eng,Clear the field.
6531067,eng,Tom didn't need to apologize.
5794159,eng,There will be two workers for every retiree in the next 20 years.
3920362,eng,This is between them and me.
6434048,eng,Mary said she didn't want to let Tom drive.
5936768,eng,I'm very worried about what might happen.
8414866,eng,He woke up and found a horse's head in his bed.
10746940,eng,Would you like to study another language?
7241905,eng,Sami was a huge Egyptian dude.
1040565,eng,Tom said that he was too tired to do anything else.
3129787,eng,"If that happens, I'll resign."
7522297,eng,I know Tom is a lot smarter than Mary is.
6091241,eng,Aren't you prepared?
6664655,eng,We can manage this on our own.
8085768,eng,No one would do something like this in Kabylie.
6513125,eng,"Tom and Mary didn't need to do that, did they?"
1685980,eng,This is the boy who played with the toy that scared the frog that splashed the dog that chased the cat that ate the rat that killed the mouse that lived in the house that Jack built.
44226,eng,The people in the room all know one another.
30200,eng,He stuck to his opinion though I told him not to.
20513,eng,"As was expected, he succeeded in winning the prize."
5149968,eng,Tom didn't need it.
9179728,eng,This restaurant didn't meet my expectations.
8875583,eng,This tie goes well with your shirt.
6248074,eng,I guess Tom will have to do that.
290721,eng,He didn't give up the plan.
6711237,eng,Sami is a brave man.
2775442,eng,I bet she is younger than me.
283779,eng,It was fortunate that he was taken to a nearby hospital right away after the accident.
6869317,eng,Tom should have given Mary a birthday present.
8864049,eng,I wasn't the one who killed Tom's dog.
5852347,eng,How much can you make delivering pizzas?
7186024,eng,I'm sorry that I let you down.
7438136,eng,They said that they're cautiously optimistic.
9837818,eng,You're not lost.
2953937,eng,We're proud of you.
8405949,eng,Can I have both of these?
268468,eng,The castle lies to the east of the town.
8165853,eng,I want to know why you're not doing that anymore.
239539,eng,Everything is all right now.
2360395,eng,I have the tickets.
2018812,eng,I want to know exactly how Tom died.
2953806,eng,We urged Tom to go.
1811814,eng,I have nothing to add to that.
2014242,eng,Do you want to know why I quit?
246608,eng,My meeting her at the station was a pure accident.
8613296,eng,Tom had never really paid attention to Mary.
1919800,eng,"Honor! truly a very convenient coin, which those who know how to pass it may lay out with great advantage."
3172401,eng,Are you contented?
3361817,eng,You can ask the Court of Justice to undo an act.
8614228,eng,He was walking up the stairs.
8315228,eng,She's off-key.
10105349,eng,Algeria needs to develop its ready-made clothing sector.
8186074,eng,Tom had no idea Mary already had a boyfriend.
8385769,eng,Tom robbed me.
2240751,eng,We're nearly there.
7925175,eng,I saw.
5852810,eng,I'm a florist.
7407709,eng,They give their children allowances.
797159,eng,We had to lessen the impact of the erratic supplies.
9953838,eng,"I am Kabyle and I love Israel. ""Does anyone care about that? There are even Palestinians who love Israel."""
6884516,eng,"I'll apologize first, okay?"
7217388,eng,I'm afraid that I'm going to have to ask you to leave now.
9432462,eng,Do you also write music?
6206779,eng,It takes a great man to be a good listener.
7174735,eng,Tom thought Mary was having a good time.
10025173,eng,"Would English be phonetically consistent if we added accents on every word, each one always giving a consistent pronunciation?"
8517197,eng,He persuaded the store manager to give him back his money.
3915158,eng,I may have to help him.
9958586,eng,Yanni wants to fix his neck hump.
3824730,eng,It's probably my fault.
3517209,eng,"If you'd grow a beard, you'd look a lot like Tom."
1562158,eng,That's what I've always said.
2276341,eng,Tom didn't have any fun.
6241936,eng,I should've been able to do that for you.
328138,eng,I started to think I had behaved foolishly.
3906749,eng,Have you ever spoken to them?
9444236,eng,Access to electricity has improved in Algeria.
6484964,eng,Sami loves acoustic music.
10240850,eng,Ziri and Rima knew each other since high school or college.
6849240,eng,I've joked with Tom about that.
6235942,eng,Tom and I are getting ready to do that right now.
8462291,eng,My father planted this tree.
2239313,eng,I'm not happy about it.
8396112,eng,I don't watch that much television.
10685355,eng,I don't know anything about Tom's job.
40458,eng,Tell whoever comes that I'm out.
8009396,eng,Do you know who Tom's grandfather was?
637071,eng,"A curious German word is ""entfernen"" (to put some distance between), because the prefix ""ent-"" means to take something away, in this case the distance, but taking away the distance would mean to bring it closer which is the exact opposite of what the word ""entfernen"" means."
7796286,eng,They helped her go to Canada.
6247458,eng,Do you think Tom might be correct?
66053,eng,You must always tell the truth.
3436781,eng,Were you indiscreet?
7807929,eng,I wish you'd told me the truth then.
6261602,eng,Didn't I tell you I'd do that?
8523205,eng,You might meet him if you go to the library.
315689,eng,She has a drunken husband.
10205446,eng,"We come into this world alone, and that’s how we’ll leave it."
6244770,eng,I never expected to be able to do that.
10693860,eng,Katya turned a page in the magazine.
6518434,eng,Where were Tom and Mary last night?
8415877,eng,Tom probably won't even remember my name.
65597,eng,Won't you come over to my place?
6907372,eng,"Soon the disenfranchised, downtrodden laymen started a full out uprising, seeking to tear out the remnants of their oppression."
6337473,eng,I think I speak French better than Tom.
8528668,eng,"She's still your friend, isn't she?"
296636,eng,He is having lunch.
6426807,eng,Mary found herself alone again.
6648506,eng,Tom said that he thought Mary was tired.
2458592,eng,I think you're perfect.
3419305,eng,They stayed at a very expensive hotel.
7874748,eng,You seem to have an asthma.
4792121,eng,"A scientist will read dozens of books in his lifetime, but still believe he has a lot more to learn."
3434255,eng,Tom used his head.
4013618,eng,Why won't anybody answer my questions?
5672607,eng,"Everybody called Mary ""the Sphinx"", because she always spoke in riddles."
4368256,eng,It's your turn to speak.
69881,eng,Do you watch television?
7784824,eng,"“But other than that, they they’re nice,” he said. “They don’t treat me differently.”"
10337391,eng,The pain has gotten a lot worse.
9095816,eng,"Tom isn't still single, is he?"
6624751,eng,"Those indignant winds grumble with a loud murmuring around the confines of the mountain; Aeolus sits in his high citadel, holding his scepter, and he soothes their spirits and tempers their rages: if he did not do this, they would surely snatch away seas and lands and the deep heaven itself, and sweep them off through the windy sky."
6128786,eng,My mother works in a big office.
265242,eng,"In fact, the opposite is more likely to occur."
8566767,eng,Who gave him that money?
8225521,eng,Our ideas do not match.
6825803,eng,Tom married a ballet dancer.
329676,eng,"I spent three years looking for a good director, but couldn't find one."
8978106,eng,He had trouble pronouncing the sibilant letters.
10551466,eng,"Although I went to bed early, I couldn't get to sleep."
4496339,eng,That's the catch.
9720108,eng,I admit that I was hesitant to speak to you the first time I saw you.
3635810,eng,This place smells bad.
2396321,eng,"Sorry, I didn't hear you."
329590,eng,The downclimb here is also dangerous as there are no handholds.
5840515,eng,I can't paint.
6226977,eng,Tom told Mary that he didn't think John had finished doing that by 2:30.
6074186,eng,Many hospitals in England have been hit by a cyber-attack.
4668393,eng,What lovely legs!
6815057,eng,Do you plan to do that with Tom?
4664141,eng,"Tom didn't have to help, but he did."
243505,eng,I heard someone call my name in the crowded bus.
7511317,eng,Tom said he didn't want to say anything else.
764407,eng,Find multilingual sentence equivalents at Tatoeba.org.
6498171,eng,Tom and Mary said they didn't think John knew how to drive.
9684439,eng,You're wrong in some respects.
3456702,eng,Leanne has tried to fix the computer.
